Company Name,Website
HealthCheck360,https://www.healthcheck360.com/
Equifax Inc.,https://www.equifax.com/personal/
FIS Global,https://www.fisglobal.com/en
Barclaycard,https://cards.barclaycardus.com/
Groom Law Group Chartered,https://www.groom.com/
Velir,https://www.velir.com/
Allied Payment Network Inc,https://www.alliedpayment.com/
DigiCert,https://www.digicert.com/
Layer 8 Security,https://layer8security.com/
Atos,https://atos.net/en/
Benefitfocus Inc,https://www.benefitfocus.com/
Convergys,https://www.concentrix.com/
ACCENTURE PLC,https://www.accenture.com/ca-en
Konica,https://www.konicaminolta.com/ca-en/index.html
Cohesity,https://www.cohesity.com/
Angleritech,https://www.angleritech.com/
"DST Health Solutions, Inc.",https://health.ssctech.com/
Ciklum,https://www.ciklum.com/
Info Armor,https://www.infoarmor.com/
"Compucom Systems, Inc.",https://www.compucom.com/
Clarizen,https://www.clarizen.com/
Lowenstein Sandler LLP,https://www.lowenstein.com/
CWT,https://www.mycwt.com/
CGI GROUP INC,https://www.cgi.com/en
Inmar Inc,https://www.inmar.com/
Charter Communications,https://www.spectrum.com/
Global Relay Communications Inc,https://www.globalrelay.com/
ExtendOffice.com KUTools,https://www.extendoffice.com/
Kyriba,https://www.kyriba.com/
Fynd,https://www.fynd.com/
Fiserv Inc,https://www.fiserv.com/
Avanade,https://www.avanade.com/en-ca
Data Support Systems Inc.,https://www.datasupport.com/
"Cleanshelf, Inc.",https://www.cleanshelf.com/
"DocuSign, Inc.",https://www.docusign.ca/
Domo,https://www.domo.com/
"Conenza, Inc.",https://www.conenza.com/
Dechert LLP,https://www.dechert.com/
Leimberg & Leclair Inc,https://www.leimberg.com/
Erado,https://www.erado.com/
Xerox,https://www.xerox.ca/
"Intuit, Inc.",https://www.intuit.com/ca/
HR Acuity,https://www.hracuity.com/
FTP Today,https://www.ftptoday.com/
"Bryan, Pendleton, Swats & McAllister, LLC",
EOS CCA,https://www.eos-cca.com/
Computershare Limited,https://www.computershare.com/ca/en
Coveo,https://www.coveo.com/en
IMS Imaging,http://www.imsimaging.com/
Anybill,https://www.anybill.com/
BookingBug,https://www.jrni.com/
"GitHub, Inc.",https://github.com/
Ibisworld Inc,https://www.ibisworld.com/
Dun & Bradstreet Hoovers,https://www.dnb.com/ca-en/
Amadeus IT Group SA,https://amadeus.com/en
Docupace Technologies,https://www.docupace.com/
"Allison Payment Systems, LLC",https://www.apsllc.com/
FastSpring,https://fastspring.com/
Global Impact,https://charity.org/
"InsideSales.com, Inc.",https://www2.xant.ai/
Anthem,
InsightSquared,https://www.insightsquared.com/
ADP,https://www.adp.ca/en.aspx
IDology,https://www.idology.com/
Cochran,https://www.cochran.com/
Exactbid LLC Narrative1,https://edrnet.com/exact-bid-welcome/
"Cushman & Wakefield, Inc.",https://www.cushmanwakefield.com/en/canada
Vynamic LLC,https://vynamic.com/
"Benevity, Inc.",https://benevity.com/
Hubspot Inc,https://www.hubspot.com/
Coupa Software Inc,https://www.coupa.com/
"Esri Global, Inc.",https://www.esri.com/en-us/home
Greatland Corporation - Yearli,https://www.greatland.com/
Black Duck Software Inc.,https://www.blackducksoftware.com/
Debevoise & Plimpton LLP,https://www.debevoise.com/
Baker Hill,https://thetownsatbakerhill.com/
American Litho,https://www.alitho.com/
Lenders Risk,http://lendersrisk.com/
Collins Computing Inc,http://www.collinscomputing.com/
"Alert Logic, Inc.",https://www.alertlogic.com/
"Epic Advisors, Inc.",https://www.epicrps.com/#/
Gainsight,https://www.gainsight.com/
Isupport Software,https://www.isupport.com/
Change Healthcare,https://www.changehealthcare.com/
"BlueJeans Network, Inc.",https://www.bluejeans.com/
House of Kaizen,https://houseofkaizen.com/
Digital River,https://www.digitalriver.com/
"Benefit Resource, LLC",https://www.benefitresource.com/
Centrality,
Bencomp Communications,https://www.bencompusa.com/
ADS Alliance Data Systems,https://www.alliancedata.com/home/default.aspx
Arvato,https://www.bertelsmann.com/#st-1
American Express,https://www.americanexpress.com/ca/
DHL International,https://www.dhl.com/ca-en/home.html
